STATE,ACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOTO,,,,,,,,,,,,,,,,,
,(,),++,",",--,;,=,an,boolean,car,cela,entulesse,hyaline,id,ista,liltengwa,note,number,opa,opl,opr,oprel,qui,sarme,yulmavene,{,},$,Stmts,Stmt,If,Else,Expr,Arit,Factor,Rel,Log,For,Forexpr,Postfix,Read,Write,Type,Declaration,Function,Params
0,,,,,,,,s11,,,,,s9,,s12,s16,s15,,,,,,s10,s13,s17,,,,1,2,4,,,,,,,5,,,6,7,14,8,3,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,acc,,,,,,,,,,,,,,,,,,
2,,,,,,,,s11,,,,,s9,,s12,s16,s15,,,,,,s10,s13,s17,,,r( Stmts -> Stmt ),18,2,4,,,,,,,5,,,6,7,14,8,3,
3,,,,,,,,s11,,,,,s9,,s12,s16,s15,,,,,,s10,s13,s17,,,r( Stmts -> Function ),19,2,4,,,,,,,5,,,6,7,14,8,3,
4,,,,,,,,,,,s21,,,,,,,,,,,,,,,,s22,,,,,20,,,,,,,,,,,,,,
5,,,,,,,,r( Stmt -> For ),,,r( Stmt -> For ),,r( Stmt -> For ),,r( Stmt -> For ),r( Stmt -> For ),r( Stmt -> For ),,,,,,r( Stmt -> For ),r( Stmt -> For ),r( Stmt -> For ),,r( Stmt -> For ),r( Stmt -> For ),,,,,,,,,,,,,,,,,,
6,,,,,,,,r( Stmt -> Read ),,,r( Stmt -> Read ),,r( Stmt -> Read ),,r( Stmt -> Read ),r( Stmt -> Read ),r( Stmt -> Read ),,,,,,r( Stmt -> Read ),r( Stmt -> Read ),r( Stmt -> Read ),,r( Stmt -> Read ),r( Stmt -> Read ),,,,,,,,,,,,,,,,,,
7,,,,,,,,r( Stmt -> Write ),,,r( Stmt -> Write ),,r( Stmt -> Write ),,r( Stmt -> Write ),r( Stmt -> Write ),r( Stmt -> Write ),,,,,,r( Stmt -> Write ),r( Stmt -> Write ),r( Stmt -> Write ),,r( Stmt -> Write ),r( Stmt -> Write ),,,,,,,,,,,,,,,,,,
8,,,,,,s23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,s24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,s32,,,,,,,,,,,,,s30,,,,s31,,s28,,,,,,,,,,,,,,27,29,25,26,,,,,,,,,
11,s33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,s34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,s35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,s36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,r( Type -> note ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,r( Type -> liltengwa ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,r( Type -> yulmavene ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,r( Stmts -> Stmt Stmts ),,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,r( Stmts -> Function Stmts ),,,,,,,,,,,,,,,,,,
